"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C2443","Checklist for links."," None","Kanstantsin Kojemiakin","4/14/2023 12:49 PM","","","","","","Website https://thewebster.com/ opened in a browser window. ","Medium","","Main Page Header","0","https://thewebster.com Header","Main Page Header","1. Click on """"LOGO (WEBSTER)"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.2. Click on """"WOMEN"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.3. Click on """"MEN"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.4. Click on """"DESIGNERS"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.5. Click on """"BEAUTY"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.6. Click on """"HOME"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.7. Click on """"EDITORIAL"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.8. Click on """"SALE"""" link in the header.
Expected Result:
The corresponding page should load successfully without any errors or delays.","","","The corresponding page should load successfully without any errors or delays.","","","Click on ""LOGO (WEBSTER)"" link in the header.","Master","S9","Test Case (Steps)","Other","Kanstantsin Kojemiakin","4/16/2023 10:37 AM"
"C2444","Checklist for mouse-over on cart."," None","Kanstantsin Kojemiakin","4/14/2023 12:50 PM","","","","","","Three items are added to the cart.
Website https://thewebster.com/ opened in a browser window. 
","Medium","","Main Page Header","0","https://thewebster.com Header","Main Page Header","1. Hovering over the """"Cart"""" button.
Expected Result:
Displays a dropdown menu.
Ensure that current content in the dropdown menu is displayed correctly with the right items and prices.2. Click the """"Cart"""" button.
Expected Result:
User is redirected to a page that displays the complete contents of the cart.3. Click on the """"Go To Checkout"""" button in the dropdown menu. 
Expected Result:
Redirection to the Checkout page.4. Click on the """"Remove"""" button.
Expected Result:
The selected item should be removed from the cart, and the total price of the cart should be updated accordingly. 
User should also receive a confirmation message indicating that the item has been removed.","","","Displays a dropdown menu.
Ensure that current content in the dropdown menu is displayed correctly with the right items and prices.","","","Hovering over the ""Cart"" button.","Master","S9","Test Case (Steps)","Other","Kanstantsin Kojemiakin","4/16/2023 10:37 AM"
"C2476","Checklist for mouse-over on categories."," None","Kanstantsin Kojemiakin","4/15/2023 8:43 PM","","","","","","Website https://thewebster.com/ opened in a browser window. ","Medium","","Main Page Header","0","https://thewebster.com Header","Main Page Header","1. Hover over each category in the header.
Expected Result:
A dropdown window with the correct category content appears.2. Verify that the content of the dropdown menu is displayed correctly.
Expected Result:
The content of the dropdown menu is displayed correctly, without errors or omissions.3. Verify that all links in the dropdown menu work correctly.
Expected Result:
All links in the dropdown menu lead to the corresponding pages.4. Move the mouse cursor to an unoccupied area.
Expected Result:
The dropdown menu is hidden when the cursor is moved away.","","","A dropdown window with the correct category content appears.","","","Hover over each category in the header.","Master","S9","Test Case (Steps)","Other","Kanstantsin Kojemiakin","4/16/2023 10:41 AM"
"C2472","Slides displaying on the desktop version.(NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:32 PM","","","","","","","Medium","","Main Page Body","0","https://thewebster.com Body","Main Page Body","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:55 AM"
"C2473","Slides displaying on the mobile version. (NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:33 PM","","","","","","","Medium","","Main Page Body","0","https://thewebster.com Body","Main Page Body","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:55 AM"
"C2474","Slides move using the mouse on the desktop version. (NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:33 PM","","","","","","","Medium","","Main Page Body","0","https://thewebster.com Body","Main Page Body","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:55 AM"
"C2475","Slides move using the mouse on the mobile version. (NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:34 PM","","","","","","","Medium","","Main Page Body","0","https://thewebster.com Body","Main Page Body","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:55 AM"
"C2466","Join Our Mailing List. (NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:24 PM","","","","","","","Medium","","Main Page Footer","0","https://thewebster.com Footer","Main Page Footer","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:56 AM"
"C2467","Social Icons. (NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:24 PM","","","","","","","Medium","","Main Page Footer","0","https://thewebster.com Footer","Main Page Footer","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:56 AM"
"C2468","Accessibility Options On\Off. (NOT IMPLEMENTED)"," None","Kanstantsin Kojemiakin","4/15/2023 8:24 PM","","","","","","","Medium","","Main Page Footer","0","https://thewebster.com Footer","Main Page Footer","","","","","","","","Master","S9","Test Case (Text)","Other","Kanstantsin Kojemiakin","4/16/2023 11:56 AM"
